Ciclev10000001m	GO:0005515,GO:0016881,GO:0006464,GO:0005622
Ciclev10020997m	
Ciclev10020998m	GO:0007275,GO:0006511,GO:0005634
Ciclev10020999m	GO:0003676
Ciclev10021000m	GO:0003677
Ciclev10021001m	GO:0003676
Ciclev10021002m	GO:0046872,GO:0016813
Ciclev10021003m	
Ciclev10021004m	GO:0003676
Ciclev10021005m	GO:0003824
Ciclev10021006m	GO:0046872,GO:0016813
Ciclev10021007m	GO:0030170,GO:0008152,GO:0003824
Ciclev10021008m	GO:0018342,GO:0008318
Ciclev10021009m	
Ciclev10021010m	GO:0055114,GO:0020037,GO:0006979,GO:0004601
Ciclev10021011m	GO:0003676
Ciclev10021012m	GO:0006468,GO:0005524,GO:0004672
Ciclev10021013m	
Ciclev10021014m	
Ciclev10021015m	
Ciclev10021016m	GO:0016021,GO:0004659
Ciclev10021017m	GO:0046872,GO:0030001
Ciclev10021018m	
Ciclev10021019m	
Ciclev10021020m	GO:0006779,GO:0004853
Ciclev10021021m	
Ciclev10021022m	
Ciclev10021023m	
Ciclev10021024m	
Ciclev10021025m	
Ciclev10021026m	GO:0005524
Ciclev10021027m	GO:0016757
Ciclev10021028m	
Ciclev10021029m	
Ciclev10021030m	GO:0007264,GO:0005622,GO:0005525
Ciclev10021031m	
Ciclev10021032m	GO:0008168,GO:0008152
Ciclev10021033m	GO:0051082,GO:0031072,GO:0006457
Ciclev10021034m	
Ciclev10021035m	GO:0051082,GO:0031072,GO:0006457
Ciclev10021036m	
Ciclev10021037m	GO:0055114,GO:0016620
Ciclev10021038m	GO:0043565,GO:0006355,GO:0003700
Ciclev10021039m	
Ciclev10021040m	GO:0015031,GO:0006464
Ciclev10021041m	GO:0016491,GO:0008152
Ciclev10021042m	GO:0016020
Ciclev10021043m	GO:0005515,GO:0005975,GO:0005529
Ciclev10021044m	
Ciclev10021045m	
Ciclev10021046m	GO:0055114,GO:0004497
Ciclev10021047m	
Ciclev10021048m	
Ciclev10021049m	GO:0055114,GO:0004497
Ciclev10021050m	GO:0008146
Ciclev10021051m	GO:0055114,GO:0004497
Ciclev10021052m	
Ciclev10021053m	GO:0016021,GO:0008643,GO:0005351,GO:0000139
Ciclev10021054m	
Ciclev10021055m	
Ciclev10021056m	
Ciclev10021057m	GO:0003723
Ciclev10021058m	GO:0030170,GO:0006520
Ciclev10021059m	GO:0006355,GO:0003700
Ciclev10021060m	
Ciclev10021061m	
Ciclev10021062m	GO:0008474,GO:0006464
Ciclev10021063m	GO:0006468,GO:0005524,GO:0004672
Ciclev10021064m	GO:0006094,GO:0005524,GO:0004612
Ciclev10021065m	GO:0005515
Ciclev10021066m	GO:0008898
Ciclev10021067m	
Ciclev10021068m	
Ciclev10021069m	GO:0016491
Ciclev10021070m	GO:0005525
Ciclev10021071m	
Ciclev10021072m	GO:0055114,GO:0016491,GO:0008270
Ciclev10021073m	GO:0006355,GO:0003700
Ciclev10021074m	
Ciclev10021075m	GO:0055114,GO:0016491,GO:0016615,GO:0006108
Ciclev10021076m	
Ciclev10021077m	
Ciclev10021078m	
Ciclev10021079m	GO:0050662,GO:0044237,GO:0003824
Ciclev10021080m	GO:0005524,GO:0006260,GO:0005663,GO:0003689
Ciclev10021081m	GO:0016787,GO:0008152
Ciclev10021082m	GO:0051287,GO:0016616,GO:0008152,GO:0048037
Ciclev10021083m	GO:0050662,GO:0044237,GO:0003824
Ciclev10021084m	
Ciclev10021085m	GO:0016491,GO:0008152
Ciclev10021086m	GO:0003723
Ciclev10021087m	GO:0006508,GO:0004197
Ciclev10021088m	
Ciclev10021089m	
Ciclev10021090m	GO:0016491
Ciclev10021091m	GO:0008649,GO:0000179,GO:0000154
Ciclev10021092m	GO:0050662,GO:0044237,GO:0003824
Ciclev10021093m	GO:0030170,GO:0008152,GO:0003824
Ciclev10021094m	GO:0016787
Ciclev10021095m	GO:0047746
Ciclev10021096m	GO:0008168
Ciclev10021097m	GO:0030170,GO:0008152,GO:0003824
Ciclev10021098m	GO:0050662,GO:0044237,GO:0003824
Ciclev10021099m	GO:0005515
Ciclev10021100m	GO:0008270,GO:0006355,GO:0003677
Ciclev10021101m	GO:0016491
Ciclev10021102m	GO:0006468,GO:0005524,GO:0004672
Ciclev10021103m	GO:0047746
Ciclev10021104m	
Ciclev10021105m	
Ciclev10021106m	GO:0005634,GO:0003677
Ciclev10021107m	
Ciclev10021108m	GO:0016787
Ciclev10021109m	
Ciclev10021110m	
Ciclev10021111m	GO:0016787,GO:0006541,GO:0008242,GO:0003824
Ciclev10021112m	GO:0008270,GO:0005622,GO:0016021,GO:0004252
Ciclev10021113m	
Ciclev10021114m	
Ciclev10021115m	GO:0046983,GO:0043565,GO:0006355,GO:0003700
Ciclev10021116m	
Ciclev10021117m	GO:0006355,GO:0003677
Ciclev10021118m	GO:0055114,GO:0016491,GO:0008270
Ciclev10021119m	GO:0016021,GO:0004252,GO:0006508
Ciclev10021120m	
Ciclev10021121m	GO:0003677
Ciclev10021122m	
Ciclev10021123m	
Ciclev10021124m	GO:0010181
Ciclev10021125m	
Ciclev10021126m	GO:0016021
Ciclev10021127m	
Ciclev10021128m	GO:0047325,GO:0035300,GO:0032957,GO:0005622,GO:0005524,GO:0000287
Ciclev10021129m	GO:0010181
Ciclev10021130m	GO:0055114,GO:0016491
Ciclev10021131m	
Ciclev10021132m	GO:0006355,GO:0003700
Ciclev10021133m	
Ciclev10021134m	GO:0055114,GO:0046872,GO:0006801,GO:0030001
Ciclev10021135m	
Ciclev10021136m	
Ciclev10021137m	GO:0005515
Ciclev10021138m	GO:0005515
Ciclev10021139m	
Ciclev10021140m	
Ciclev10021141m	GO:0006355,GO:0003677
Ciclev10021142m	
Ciclev10021143m	
Ciclev10021144m	GO:0016742,GO:0009058,GO:0008864,GO:0006189
Ciclev10021145m	GO:0008171,GO:0046983,GO:0008168
Ciclev10021146m	
Ciclev10021147m	GO:0031072
Ciclev10021148m	
Ciclev10021149m	
Ciclev10021150m	
Ciclev10021151m	
Ciclev10021152m	GO:0005634,GO:0003677
Ciclev10021153m	
Ciclev10021154m	
Ciclev10021155m	GO:0006355,GO:0003677
Ciclev10021156m	GO:0005515
Ciclev10021157m	
Ciclev10021158m	GO:0016021,GO:0004252,GO:0006508
Ciclev10021159m	GO:0007275,GO:0006511,GO:0005634
Ciclev10021160m	GO:0006412,GO:0005840,GO:0003735,GO:0019843
Ciclev10021161m	
Ciclev10021162m	GO:0005975
Ciclev10021163m	
Ciclev10021164m	
Ciclev10021165m	GO:0008270,GO:0003676
Ciclev10021166m	
Ciclev10021167m	GO:0042545,GO:0030599,GO:0005618
Ciclev10021168m	GO:0005515
Ciclev10021169m	GO:0046961,GO:0046933,GO:0045261,GO:0015986
Ciclev10021170m	GO:0006468,GO:0005524,GO:0004672
Ciclev10021171m	GO:0006457,GO:0003755
Ciclev10021172m	
Ciclev10021173m	GO:0006508,GO:0004222
Ciclev10021174m	GO:0043565,GO:0006355,GO:0003700
Ciclev10021175m	GO:0005524
Ciclev10021176m	
Ciclev10021177m	
Ciclev10021178m	
Ciclev10021179m	
Ciclev10021180m	GO:0005524
Ciclev10021181m	GO:0006614,GO:0005525
Ciclev10021182m	GO:0006614,GO:0005525
Ciclev10021183m	GO:0006614,GO:0005525
Ciclev10021184m	GO:0016787,GO:0006541,GO:0008242,GO:0003824
Ciclev10021185m	
Ciclev10021186m	
Ciclev10021187m	GO:0016998,GO:0006032,GO:0004568
Ciclev10021188m	
Ciclev10021189m	GO:0005515
Ciclev10021190m	GO:0043565,GO:0008270,GO:0006355,GO:0003700
Ciclev10021191m	
Ciclev10021192m	GO:0016787
Ciclev10021193m	
Ciclev10021194m	GO:0055085,GO:0022857,GO:0016021
Ciclev10021195m	
Ciclev10021196m	GO:0008831,GO:0045226
Ciclev10021197m	
Ciclev10021198m	GO:0016787
Ciclev10021199m	
Ciclev10021200m	GO:0006468,GO:0005524,GO:0004672
Ciclev10021201m	GO:0055085,GO:0022857,GO:0016021
Ciclev10021202m	
Ciclev10021203m	
Ciclev10021204m	
Ciclev10021205m	GO:0016787
Ciclev10021206m	GO:0005515
Ciclev10021207m	
Ciclev10021208m	GO:0016787
Ciclev10021209m	
Ciclev10021210m	
Ciclev10021211m	GO:0006810,GO:0005622
Ciclev10021212m	
Ciclev10021213m	
Ciclev10021214m	
Ciclev10021215m	
Ciclev10021216m	GO:0007205,GO:0004143
Ciclev10021217m	
Ciclev10021218m	GO:0005783
Ciclev10021219m	GO:0008889,GO:0006071
Ciclev10021220m	
Ciclev10021221m	GO:0016998
Ciclev10021222m	
Ciclev10021223m	
Ciclev10021224m	
Ciclev10021225m	GO:0008168
Ciclev10021226m	GO:0046983,GO:0043565,GO:0006355,GO:0003700
Ciclev10021227m	GO:0005515
Ciclev10021228m	
Ciclev10021229m	GO:0006468,GO:0005524,GO:0004672
Ciclev10021230m	GO:0046933,GO:0045261,GO:0015986,GO:0005886
Ciclev10021231m	GO:0055114,GO:0050661,GO:0050660,GO:0004499
Ciclev10021232m	GO:0008474,GO:0006464
Ciclev10021233m	GO:0008152,GO:0003951
Ciclev10021234m	GO:0015031
Ciclev10021235m	GO:0005515
Ciclev10021236m	
Ciclev10021237m	
Ciclev10021238m	
Ciclev10021239m	
Ciclev10021240m	GO:0008270
Ciclev10021241m	
Ciclev10021242m	GO:0008270
Ciclev10021243m	GO:0015031
Ciclev10021244m	
Ciclev10021245m	
Ciclev10021246m	
Ciclev10021247m	
Ciclev10021248m	
Ciclev10021249m	
Ciclev10021250m	GO:0010181
Ciclev10021251m	GO:0010181
Ciclev10021252m	GO:0016020,GO:0008378,GO:0006486
Ciclev10021253m	GO:0005544,GO:0005509
Ciclev10021254m	GO:0006468,GO:0005524,GO:0004672
Ciclev10021255m	GO:0005515,GO:0016020
Ciclev10021256m	
Ciclev10021257m	GO:0016301,GO:0008152,GO:0005524
Ciclev10021258m	
Ciclev10021259m	
Ciclev10021260m	GO:0005488,GO:0044238
Ciclev10021261m	
Ciclev10021262m	
Ciclev10021263m	
Ciclev10021264m	
Ciclev10021265m	GO:0006355,GO:0003700
Ciclev10021266m	
Ciclev10021267m	
Ciclev10021268m	
Ciclev10021269m	GO:0016853,GO:0005975
Ciclev10021270m	
Ciclev10021271m	
Ciclev10021272m	GO:0008270,GO:0006355,GO:0006413,GO:0003743,GO:0030528,GO:0006352
Ciclev10021273m	
Ciclev10021274m	GO:0008152,GO:0003951
Ciclev10021275m	GO:0006568,GO:0004834
Ciclev10021276m	GO:0016597,GO:0008152
Ciclev10021277m	
Ciclev10021278m	GO:0008270,GO:0006355,GO:0003677
Ciclev10021279m	GO:0009229,GO:0005524,GO:0004788
Ciclev10021280m	
Ciclev10021281m	GO:0016021
Ciclev10021282m	GO:0016787
Ciclev10021283m	GO:0016021
Ciclev10021284m	GO:0030170,GO:0008152,GO:0003824
Ciclev10021285m	GO:0006355,GO:0003700
Ciclev10021286m	
Ciclev10021287m	GO:0043565,GO:0006355,GO:0005634,GO:0003700
Ciclev10021288m	GO:0016491
Ciclev10021289m	
Ciclev10021290m	GO:0016021
Ciclev10021291m	
Ciclev10021292m	GO:0016491
Ciclev10021293m	GO:0016491
Ciclev10021294m	GO:0006779,GO:0004853
Ciclev10021295m	
Ciclev10021296m	
Ciclev10021297m	
Ciclev10021298m	
Ciclev10021299m	GO:0006779,GO:0004853
Ciclev10021300m	GO:0006779,GO:0004853
Ciclev10021301m	
Ciclev10021302m	GO:0008270
Ciclev10021303m	
Ciclev10021304m	
Ciclev10021305m	
Ciclev10021306m	GO:0005515
Ciclev10021307m	
Ciclev10021308m	GO:0030170,GO:0006520
Ciclev10021309m	
Ciclev10021310m	GO:0016787
Ciclev10021311m	
Ciclev10021312m	GO:0006355,GO:0003677
Ciclev10021313m	GO:0005515
Ciclev10021314m	
Ciclev10021315m	GO:0005515,GO:0016020
Ciclev10021316m	GO:0004592,GO:0015940
Ciclev10021317m	GO:0008270,GO:0006355,GO:0005634,GO:0004402,GO:0003712,GO:0005515
Ciclev10021318m	GO:0006508,GO:0004252
Ciclev10021319m	GO:0043565,GO:0006355,GO:0003700,GO:0005634,GO:0003677
Ciclev10021320m	GO:0005515
Ciclev10021321m	GO:0008171,GO:0046983,GO:0008168
Ciclev10021322m	
Ciclev10021323m	
Ciclev10021324m	GO:0016853,GO:0005975
Ciclev10021325m	
Ciclev10021326m	GO:0008171,GO:0046983,GO:0008168
Ciclev10021327m	GO:0046983,GO:0043565,GO:0006355,GO:0003700,GO:0006351,GO:0005634,GO:0003677
Ciclev10021328m	
Ciclev10021329m	
Ciclev10021330m	GO:0008234,GO:0006508
Ciclev10021331m	GO:0006464,GO:0004719
Ciclev10021332m	GO:0005525
Ciclev10021333m	GO:0019205,GO:0006139,GO:0005524,GO:0004017
Ciclev10021334m	GO:0043565,GO:0006355,GO:0003700,GO:0005634,GO:0003677
Ciclev10021335m	GO:0006351,GO:0030528,GO:0005634,GO:0003677
Ciclev10021336m	GO:0003676
Ciclev10021337m	GO:0019205,GO:0006139,GO:0005524,GO:0004017
Ciclev10021338m	
Ciclev10021339m	GO:0030904,GO:0007034
Ciclev10021340m	GO:0045226,GO:0008831
Ciclev10021341m	
Ciclev10021342m	
Ciclev10021343m	GO:0016787
Ciclev10021344m	GO:0016787,GO:0008152
Ciclev10021345m	
Ciclev10021346m	
Ciclev10021347m	
Ciclev10021348m	
Ciclev10021349m	GO:0016491,GO:0008152
Ciclev10021350m	GO:0055114,GO:0004497
Ciclev10021351m	GO:0007034,GO:0030904
Ciclev10021352m	GO:0003676
Ciclev10021353m	GO:0016788,GO:0006629
Ciclev10021354m	GO:0005515
Ciclev10021355m	GO:0016021
Ciclev10021356m	
Ciclev10021357m	GO:0043565,GO:0006355,GO:0005634,GO:0003700
Ciclev10021358m	GO:0055114,GO:0050661,GO:0050660,GO:0004499
Ciclev10021359m	
Ciclev10021360m	
Ciclev10021361m	GO:0008033,GO:0005524
Ciclev10021362m	
Ciclev10021363m	
Ciclev10021364m	GO:0055114,GO:0016491,GO:0006633,GO:0005506
Ciclev10021365m	
Ciclev10021366m	
Ciclev10021367m	GO:0043565,GO:0006355,GO:0005634,GO:0003700
Ciclev10021368m	
Ciclev10021369m	
Ciclev10021370m	GO:0016020,GO:0008076,GO:0006813,GO:0005249
Ciclev10021371m	
Ciclev10021372m	
Ciclev10021373m	
Ciclev10021374m	GO:0043565,GO:0006355,GO:0003700,GO:0005634,GO:0003677,GO:0016563,GO:0006351
Ciclev10021375m	GO:0003676
Ciclev10021376m	
Ciclev10021377m	GO:0055114,GO:0016491,GO:0008270
Ciclev10021378m	GO:0009396,GO:0003824
Ciclev10021379m	
Ciclev10021380m	GO:0006468,GO:0004672,GO:0005524
Ciclev10021381m	GO:0003676
Ciclev10021382m	
Ciclev10021383m	
Ciclev10021384m	GO:0003697,GO:0006260
Ciclev10021385m	
Ciclev10021386m	
Ciclev10021387m	GO:0005525
Ciclev10021388m	
Ciclev10021389m	
Ciclev10021390m	GO:0009058,GO:0003824
Ciclev10021391m	GO:0005525
Ciclev10021392m	
Ciclev10021393m	GO:0004788,GO:0005524,GO:0009229
Ciclev10021394m	
Ciclev10021395m	
Ciclev10021396m	
Ciclev10021397m	
Ciclev10021398m	GO:0009058,GO:0003824
Ciclev10021399m	
Ciclev10021400m	GO:0016491,GO:0008152
Ciclev10021401m	
Ciclev10021402m	GO:0016829,GO:0006520
Ciclev10021403m	GO:0016829,GO:0006520
Ciclev10021404m	GO:0003824,GO:0009058
Ciclev10021405m	GO:0046872,GO:0016813
Ciclev10021406m	GO:0016829,GO:0006520
Ciclev10021407m	GO:0016829,GO:0006520
Ciclev10021408m	GO:0016020,GO:0008508,GO:0006814
Ciclev10021409m	
Ciclev10021410m	
Ciclev10021411m	
Ciclev10021412m	
Ciclev10021413m	
Ciclev10021414m	
Ciclev10021415m	
Ciclev10021416m	
Ciclev10021417m	
Ciclev10021418m	
Ciclev10021419m	
Ciclev10021420m	GO:0006508,GO:0004252
Ciclev10021421m	
Ciclev10021422m	GO:0006355,GO:0003700
Ciclev10021423m	GO:0006508,GO:0004252
Ciclev10021424m	GO:0006508,GO:0004252
Ciclev10021425m	
Ciclev10021426m	
Ciclev10021427m	
Ciclev10021428m	
Ciclev10021429m	GO:0045454
Ciclev10021430m	GO:0008152,GO:0003824
Ciclev10021431m	
Ciclev10021432m	GO:0006508,GO:0004252
Ciclev10021433m	
Ciclev10021434m	GO:0008409,GO:0003677
Ciclev10021435m	GO:0005524
Ciclev10021436m	GO:0016020,GO:0008378,GO:0006486
Ciclev10021437m	
Ciclev10021438m	
Ciclev10021439m	GO:0016887,GO:0005524
Ciclev10021440m	
Ciclev10021441m	
Ciclev10021442m	
Ciclev10021443m	GO:0030528,GO:0006355
Ciclev10021444m	GO:0016844,GO:0009058
Ciclev10021445m	
Ciclev10021446m	GO:0016491,GO:0008152
Ciclev10021447m	GO:0016021
Ciclev10021448m	
Ciclev10021449m	
Ciclev10021450m	
Ciclev10021451m	GO:0046872,GO:0016813
Ciclev10021452m	GO:0016020,GO:0009765
Ciclev10021453m	GO:0006334,GO:0005634,GO:0003677,GO:0000786
Ciclev10021454m	
Ciclev10021455m	GO:0005525,GO:0003924
Ciclev10021456m	GO:0046961,GO:0046933,GO:0045261,GO:0015986
Ciclev10021457m	GO:0046923,GO:0016021,GO:0006621
Ciclev10021458m	GO:0006614,GO:0005525
Ciclev10021459m	
Ciclev10021460m	
Ciclev10021461m	
Ciclev10021462m	GO:0005515,GO:0042578
Ciclev10021463m	GO:0008270
Ciclev10021464m	GO:0016787,GO:0006541,GO:0008242,GO:0003824
Ciclev10021465m	
Ciclev10021466m	GO:0008168,GO:0008152
Ciclev10021467m	GO:0016021
Ciclev10021468m	GO:0016788,GO:0006629
Ciclev10021469m	GO:0045454,GO:0015035,GO:0009055,GO:0006662
Ciclev10021470m	GO:0055114,GO:0006222,GO:0004152
Ciclev10021471m	GO:0005515,GO:0006915
Ciclev10021472m	GO:0005515,GO:0006915
Ciclev10021473m	GO:0005515,GO:0006915
Ciclev10021474m	
Ciclev10021475m	GO:0006289,GO:0004518,GO:0003677
Ciclev10021476m	
Ciclev10021477m	
Ciclev10021478m	
Ciclev10021479m	
Ciclev10021480m	GO:0008649,GO:0006364,GO:0005737
Ciclev10021481m	
Ciclev10021482m	GO:0050662,GO:0044237,GO:0003824,GO:0006012,GO:0003978
Ciclev10021483m	GO:0030528,GO:0006355
Ciclev10021484m	
Ciclev10021485m	
Ciclev10021486m	
Ciclev10021487m	
Ciclev10021488m	GO:0008270,GO:0005622
Ciclev10021489m	
Ciclev10021490m	
Ciclev10021491m	GO:0019887,GO:0005956
Ciclev10021492m	
Ciclev10021493m	GO:0006355,GO:0005634
Ciclev10021494m	GO:0006281,GO:0004518
Ciclev10021495m	GO:0055114,GO:0006222,GO:0004152
Ciclev10021496m	
Ciclev10021497m	GO:0045454,GO:0015035,GO:0009055,GO:0006662
Ciclev10021498m	
Ciclev10021499m	
Ciclev10021500m	GO:0045087,GO:0031224,GO:0007165,GO:0004888
Ciclev10021501m	GO:0043565,GO:0006355,GO:0003700,GO:0005634,GO:0003677,GO:0016563,GO:0006351
Ciclev10021502m	GO:0016020,GO:0006810,GO:0005215
Ciclev10021503m	
Ciclev10021504m	GO:0016021,GO:0004252
Ciclev10021505m	
Ciclev10021506m	GO:0055114,GO:0047800
Ciclev10021507m	GO:0003676
Ciclev10021508m	GO:0016491
Ciclev10021509m	GO:0005525
Ciclev10021510m	GO:0005515
Ciclev10021511m	
Ciclev10021512m	
Ciclev10021513m	
Ciclev10021514m	GO:0016020
Ciclev10021515m	GO:0051287,GO:0016616,GO:0008152,GO:0048037
Ciclev10021516m	GO:0050662,GO:0044237,GO:0003824
Ciclev10021517m	
Ciclev10021518m	GO:0008270
Ciclev10021519m	GO:0005975,GO:0005529
Ciclev10021520m	GO:0003676
Ciclev10021521m	GO:0008270,GO:0006355,GO:0003677
Ciclev10021522m	GO:0005515,GO:0016020
Ciclev10021523m	GO:0003676
Ciclev10021524m	GO:0006468,GO:0005524,GO:0004672
Ciclev10021525m	GO:0005515
Ciclev10021526m	
Ciclev10021527m	
Ciclev10021528m	GO:0055114,GO:0047800
Ciclev10021529m	GO:0019887,GO:0005956
Ciclev10021530m	GO:0006414,GO:0005853,GO:0003746
Ciclev10021531m	GO:0003676
Ciclev10021532m	
Ciclev10021533m	
Ciclev10021534m	GO:0019887,GO:0005956
Ciclev10021535m	GO:0043565,GO:0006355,GO:0003700,GO:0005634,GO:0003677,GO:0016563,GO:0006351
Ciclev10021536m	GO:0005515
Ciclev10021537m	
Ciclev10021538m	GO:0019887,GO:0005956
Ciclev10021539m	GO:0008270
Ciclev10021540m	
Ciclev10021541m	
Ciclev10021542m	GO:0005634,GO:0003677
Ciclev10021543m	GO:0042398,GO:0016872
Ciclev10021544m	
Ciclev10021545m	
Ciclev10021546m	GO:0005515
Ciclev10021547m	GO:0016491,GO:0008152
Ciclev10021548m	GO:0005515
Ciclev10021549m	GO:0016742,GO:0009058,GO:0008864,GO:0006189
Ciclev10021550m	GO:0007017,GO:0005875
Ciclev10021551m	
Ciclev10021552m	
Ciclev10021553m	GO:0006414,GO:0005853,GO:0003746
Ciclev10021554m	GO:0005515
Ciclev10021555m	GO:0016491
Ciclev10021556m	GO:0005515,GO:0016020
Ciclev10021557m	
Ciclev10021558m	GO:0005488,GO:0008152,GO:0003824
Ciclev10021559m	
Ciclev10021560m	
Ciclev10021561m	GO:0006284
Ciclev10021562m	GO:0016020,GO:0006897
Ciclev10021563m	
Ciclev10021564m	GO:0004750,GO:0005975
Ciclev10021565m	GO:0008415,GO:0008152
Ciclev10021566m	
Ciclev10021567m	GO:0006508,GO:0004197
Ciclev10021568m	GO:0008415,GO:0008152
Ciclev10021569m	
Ciclev10021570m	
Ciclev10021571m	
Ciclev10021572m	
Ciclev10021573m	
Ciclev10021574m	
Ciclev10021575m	GO:0055114,GO:0047800
Ciclev10021576m	
Ciclev10021577m	GO:0006508,GO:0004252
Ciclev10021578m	GO:0042398,GO:0016872
Ciclev10021579m	GO:0008171
Ciclev10021580m	GO:0003676
Ciclev10021581m	GO:0008270
Ciclev10021582m	GO:0004519,GO:0003676
Ciclev10021583m	
Ciclev10021584m	GO:0016021
Ciclev10021585m	
Ciclev10021586m	GO:0003676
Ciclev10021587m	
Ciclev10021588m	GO:0003676
Ciclev10021589m	GO:0003676
Ciclev10021590m	GO:0003676
Ciclev10021591m	GO:0003676
Ciclev10021592m	GO:0055085
Ciclev10021593m	GO:0003676
Ciclev10021594m	GO:0003676
Ciclev10021595m	GO:0003676
Ciclev10021596m	GO:0003676
Ciclev10021597m	GO:0003676
Ciclev10021598m	GO:0003676
Ciclev10021599m	
Ciclev10021600m	
Ciclev10021601m	
Ciclev10021602m	GO:0016998,GO:0006032,GO:0004568,GO:0008061
Ciclev10021603m	GO:0016787
Ciclev10021604m	GO:0009507,GO:0005198
Ciclev10021605m	GO:0006412
Ciclev10021606m	GO:0030528,GO:0006355
Ciclev10021607m	
Ciclev10021608m	GO:0006468,GO:0005524,GO:0004672
Ciclev10021609m	GO:0003676
Ciclev10021610m	GO:0005515
Ciclev10021611m	GO:0006355,GO:0003700
Ciclev10021612m	
Ciclev10021613m	GO:0016491,GO:0008152
Ciclev10021614m	GO:0005515
Ciclev10021615m	GO:0003676
Ciclev10021616m	
Ciclev10021617m	GO:0005515
Ciclev10021618m	
Ciclev10021619m	GO:0003676
Ciclev10021620m	
Ciclev10021621m	GO:0008152,GO:0003824
Ciclev10021622m	GO:0006355,GO:0003700
Ciclev10021623m	
Ciclev10021624m	GO:0043565,GO:0006355,GO:0003700
Ciclev10021625m	
Ciclev10021626m	GO:0006189,GO:0004638
Ciclev10021627m	GO:0003676
Ciclev10021628m	
Ciclev10021629m	
Ciclev10021630m	GO:0000062
Ciclev10021631m	GO:0016742,GO:0009058,GO:0008864,GO:0006189
Ciclev10021632m	GO:0016020,GO:0008508,GO:0006814
Ciclev10021633m	
Ciclev10021634m	GO:0055114,GO:0046872,GO:0006801,GO:0030001
Ciclev10021635m	
Ciclev10021636m	GO:0055114,GO:0046872,GO:0006801,GO:0030001
Ciclev10021637m	
Ciclev10021638m	
Ciclev10021639m	
Ciclev10021640m	GO:0003676
Ciclev10021641m	GO:0003676
Ciclev10021642m	
Ciclev10021643m	
Ciclev10021644m	GO:0003676
Ciclev10021645m	GO:0016021
Ciclev10021646m	GO:0003676
Ciclev10021647m	GO:0008152,GO:0008080
Ciclev10021648m	GO:0003676,GO:0046660,GO:0006397,GO:0005634
Ciclev10021649m	GO:0008270,GO:0006355,GO:0003677
Ciclev10021650m	
Ciclev10021651m	
Ciclev10021652m	GO:0006355,GO:0003700
Ciclev10021653m	GO:0003676
Ciclev10021654m	GO:0005544,GO:0005509
Ciclev10021655m	
Ciclev10021656m	
Ciclev10021657m	GO:0005515,GO:0008017
Ciclev10021658m	GO:0003676
Ciclev10021659m	GO:0003676
Ciclev10021660m	GO:0003676
Ciclev10021661m	GO:0003676
Ciclev10021662m	
Ciclev10021663m	
Ciclev10021664m	GO:0003676
Ciclev10021665m	GO:0016301,GO:0008152,GO:0005524
Ciclev10021666m	
Ciclev10021667m	GO:0055114,GO:0016491,GO:0008270
Ciclev10021668m	GO:0006897,GO:0016020
Ciclev10021669m	GO:0016597,GO:0008152,GO:0008864,GO:0006189
Ciclev10021670m	GO:0008171,GO:0046983,GO:0008168
Ciclev10021671m	
Ciclev10021672m	GO:0051287,GO:0016616,GO:0008152,GO:0048037
Ciclev10021673m	GO:0003676
Ciclev10021674m	GO:0006468,GO:0005524,GO:0004672
Ciclev10021675m	GO:0016021
Ciclev10021676m	GO:0000049
Ciclev10021677m	GO:0006412,GO:0004045
Ciclev10021678m	GO:0008171,GO:0046983,GO:0008168
Ciclev10021679m	GO:0016021,GO:0004252
Ciclev10021680m	GO:0006629,GO:0004806
Ciclev10021681m	GO:0006457,GO:0003755
Ciclev10021682m	GO:0043565,GO:0006355,GO:0003700
Ciclev10021683m	GO:0019205,GO:0006139,GO:0005524
Ciclev10021684m	
Ciclev10021685m	
Ciclev10021686m	GO:0003676
Ciclev10021687m	
Ciclev10021688m	GO:0003676
Ciclev10021689m	
Ciclev10021690m	
Ciclev10021691m	GO:0003676
Ciclev10021692m	
Ciclev10021693m	GO:0006457,GO:0003755
Ciclev10021694m	GO:0006457,GO:0003755
Ciclev10021695m	
Ciclev10021696m	GO:0003735,GO:0006412,GO:0005622,GO:0005840
Ciclev10021697m	GO:0006508,GO:0005838
Ciclev10021698m	
Ciclev10021699m	
Ciclev10021700m	GO:0003676
Ciclev10021701m	GO:0005544,GO:0005509
Ciclev10021702m	
Ciclev10021704m	
Ciclev10021705m	
Ciclev10021706m	
Ciclev10021707m	
Ciclev10021708m	
Ciclev10021709m	GO:0005515,GO:0008017
Ciclev10021710m	
Ciclev10021711m	
Ciclev10021712m	GO:0005515
Ciclev10021713m	GO:0006909,GO:0005856
Ciclev10021714m	GO:0016021
Ciclev10021715m	
Ciclev10021716m	GO:0003676,GO:0055114,GO:0016491
Ciclev10021717m	GO:0005515
Ciclev10021718m	GO:0008152,GO:0003824
Ciclev10021719m	GO:0016787,GO:0006541,GO:0008242,GO:0003824
Ciclev10021720m	GO:0008168,GO:0008152
Ciclev10021721m	GO:0016998,GO:0006032,GO:0004568
Ciclev10021722m	GO:0005515
Ciclev10021723m	GO:0008152,GO:0003824
Ciclev10021724m	
Ciclev10021725m	GO:0016020,GO:0008508,GO:0006814
Ciclev10021726m	
Ciclev10021727m	
Ciclev10021728m	GO:0008168,GO:0008152
Ciclev10021729m	GO:0046983
Ciclev10021730m	GO:0008270
Ciclev10021731m	
